
field_how_applied | entity_reference | How Applied → taxonomy_term
field_method_of_application | entity_reference | Method of Application → taxonomy_term
field_other_weed_types | string | Other Weed Types
field_soil_moisture | entity_reference | Soil Moisture → taxonomy_term
field_sprayed_areas | entity_reference | Sprayed Areas → taxonomy_term
field_stage_of_weed_growth | entity_reference | Stage of Weed Growth → taxonomy_term
field_temperature | integer | Temperature
field_weed_types | entity_reference | Weed Types → lawn_and_garden_pests
field_wind_direction | entity_reference | Wind Direction → taxonomy_term
field_wind_speed | entity_reference | Wind Speed → taxonomy_term
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_spraying_conditions | BUNDLE: grub_prevention | Grub Prevention ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_spraying_conditions_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_how_applied | entity_reference | How Applied → taxonomy_term
field_soil_moisture | entity_reference | Soil Moisture → taxonomy_term
field_temperature | integer | Temperature
field_wind_direction | entity_reference | Wind Direction → taxonomy_term
field_wind_speed | entity_reference | Wind Speed → taxonomy_term
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_spraying_conditions | BUNDLE: pre_emergent | Pre-emergent ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_spraying_conditions_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_carrier | entity_reference | Carrier → taxonomy_term
field_how_applied | entity_reference | How Applied → taxonomy_term
field_method_of_application | entity_reference | Method of Application → taxonomy_term
field_soil_moisture | entity_reference | Soil Moisture → taxonomy_term
field_sprayed_areas | entity_reference | Sprayed Areas → taxonomy_term
field_temperature | integer | Temperature
field_wind_direction | entity_reference | Wind Direction → taxonomy_term
field_wind_speed | entity_reference | Wind Speed → taxonomy_term
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_spraying_conditions | BUNDLE: tree_spraying | Tree Spraying ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_spraying_conditions_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_carrier | entity_reference | Carrier → taxonomy_term
field_how_applied | entity_reference | How Applied → taxonomy_term
field_how_many_trees | integer | How Many Trees
field_method_of_application | entity_reference | Method of Application → taxonomy_term
field_temperature | integer | Temperature
field_wind_direction | entity_reference | Wind Direction → taxonomy_term
field_wind_speed | entity_reference | Wind Speed → taxonomy_term
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_spraying_conditions | BUNDLE: weed_spraying | Weed Spraying ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_spraying_conditions_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
default_langcode | boolean | Default translation
path | path | URL alias
field_carrier | entity_reference | Carrier → taxonomy_term
field_how_applied | entity_reference | What did you use to apply spray → taxonomy_term
field_method_of_application | entity_reference | Method of Application → taxonomy_term
field_other_weed_types | string | Other Weed Types
field_soil_moisture | entity_reference | Soil Moisture → taxonomy_term
field_sprayed_areas | entity_reference | Mark the areas that you sprayed → taxonomy_term
field_stage_of_weed_growth | entity_reference | Stage of Weed Growth → taxonomy_term
field_temperature | integer | Temperature
